id	taxid
GeneID:10894619	943335
GeneID:10894620	943335
GeneID:10894624	943335
GeneID:10894625	943335
GeneID:10894626	943335
GeneID:10894628	943335
GeneID:10894630	943335
GeneID:10896869	934027
GeneID:10896931	934027
GeneID:10896953	934027
GeneID:10896980	934027
GeneID:10896992	981323
GeneID:10896993	981323
GeneID:10897003	981323
GeneID:10897006	981323
GeneID:10897017	981323
GeneID:10897027	981323
GeneID:10897029	981323
GeneID:10897037	981323
GeneID:10913668	1027880
GeneID:10913674	1027869
GeneID:10963683	913970
GeneID:10963734	68347
GeneID:10963736	68347
GeneID:10963755	68347
GeneID:10963763	68347
GeneID:10963780	68347
GeneID:10963788	68347
GeneID:10963794	68347
GeneID:10963812	68347
GeneID:10963817	68347
GeneID:10963819	68347
GeneID:10963824	68347
GeneID:10963826	68347
GeneID:10963853	68347
GeneID:10963857	68347
GeneID:10963894	68347
GeneID:10963908	68347
GeneID:10971339	64293
GeneID:10973705	489830
GeneID:10973742	489830
GeneID:10973786	489830
GeneID:10973879	189830
GeneID:10973895	189830
GeneID:10973897	471498
GeneID:10973903	439016
GeneID:10973929	436447
GeneID:10973932	1050407
GeneID:10987422	515446
GeneID:10987424	515575
GeneID:10987427	516956
GeneID:10987433	547467
GeneID:10987436	549205
GeneID:11027425	325676
GeneID:11029894	75888
GeneID:11039979	75888
GeneID:11040007	647294
GeneID:11041075	699370
GeneID:11041084	699370
GeneID:11041091	699370
GeneID:11041105	699370
GeneID:11041125	699370
GeneID:11041144	699370
GeneID:11041182	699370
GeneID:11041214	699370
GeneID:11107027	252584
GeneID:11107030	252584
GeneID:11107032	252584
GeneID:11107034	252584
GeneID:11107045	252584
GeneID:11107049	252584
GeneID:11107053	252584
GeneID:11107058	252584
GeneID:11107062	252584
GeneID:11107069	252584
GeneID:11107078	252584
GeneID:11107094	252584
GeneID:11107096	252584
GeneID:11107099	252584
GeneID:11107100	252584
GeneID:11107123	252584
GeneID:11107126	252584
GeneID:11107132	252584
GeneID:11107180	1076255
GeneID:11107186	1076255
GeneID:11107199	1076255
GeneID:11107239	1076255
GeneID:11107257	1076255
GeneID:11107258	1076255
GeneID:11107262	1076255
GeneID:11107266	1076255
GeneID:11107276	1076255
GeneID:11107285	1076255
GeneID:11107286	1076255
GeneID:11107288	1076255
GeneID:11107290	1076255
GeneID:11107293	1076255
GeneID:11107297	1076255
GeneID:11107299	1076255
GeneID:11107307	1076255
GeneID:11107312	1076255
GeneID:11107317	1076255
GeneID:11117458	1074864
GeneID:11117462	1054968
GeneID:11117474	1054968
GeneID:11117488	1054968
GeneID:11117569	1054968
GeneID:11117708	593131
GeneID:11117726	673375
GeneID:11117740	673375
GeneID:11117773	1074210
GeneID:11117778	696069
GeneID:11117781	696069
GeneID:11117782	696069
GeneID:11117784	696069
GeneID:11117794	696069
GeneID:11117799	696069
GeneID:11175072	1081055
GeneID:11187350	671126
GeneID:11187352	671126
GeneID:11256707	1094892
GeneID:11256709	1094892
GeneID:11256713	1094892
GeneID:11256745	1094892
GeneID:11256786	1094892
GeneID:11256804	1094892
GeneID:11256962	1094892
GeneID:11256965	1094892
GeneID:11256975	1094892
GeneID:11257042	1094892
GeneID:11257075	1094892
GeneID:11257093	1094892
GeneID:11257116	1094892
GeneID:11257202	1094892
GeneID:11257223	1094892
GeneID:11257311	1094892
GeneID:11257359	1094892
GeneID:11257378	1094892
GeneID:11257405	1094892
GeneID:11257432	1094892
GeneID:11257449	1094892
GeneID:11257451	1094892
GeneID:11257479	1094892
GeneID:11257561	1094892
GeneID:11257567	1094892
GeneID:11257631	1094892
GeneID:11257659	1094892
GeneID:11257683	1094892
GeneID:11257689	1094892
GeneID:11257693	1094892
GeneID:11257814	1080800
GeneID:11266299	310540
GeneID:11266305	310540
GeneID:11266310	310540
GeneID:11266316	310540
GeneID:11266322	310540
GeneID:11266324	310540
GeneID:11266337	180230
GeneID:11266342	180230
GeneID:11266343	180230
GeneID:11266344	180230
GeneID:11266346	180230
GeneID:11266351	180230
GeneID:11266353	180230
GeneID:11266355	180230
GeneID:11266357	180230
GeneID:11266359	180230
GeneID:11266363	180230
GeneID:11266372	180230
GeneID:11266373	180230
GeneID:11266377	180230
GeneID:11266379	180230
GeneID:11266381	180230
GeneID:11266383	180230
GeneID:11266384	180230
GeneID:11266386	180230
GeneID:11266387	180230
GeneID:11266391	180230
GeneID:11266392	180230
GeneID:11266393	180230
GeneID:11266394	180230
GeneID:11266395	180230
GeneID:11266396	180230
GeneID:11266400	180230
GeneID:11266406	180230
GeneID:11266409	180230
GeneID:11266414	180230
GeneID:11266418	180230
GeneID:11266419	180230
GeneID:11266422	180230
GeneID:11266426	180230
GeneID:11266428	180230
GeneID:11266429	180230
GeneID:11266432	180230
GeneID:11266442	180230
GeneID:11266445	180230
GeneID:11266449	180230
GeneID:11266455	180230
GeneID:11266459	180230
GeneID:11266465	180230
GeneID:11266467	180230
GeneID:11266469	180230
GeneID:11266470	180230
GeneID:11266471	180230
GeneID:11266480	180230
GeneID:11266481	180230
GeneID:11266487	180230
GeneID:11266490	180230
GeneID:11266492	180230
GeneID:11266523	693999
GeneID:11266671	1094249
GeneID:11273145	658904
GeneID:11273147	658904
GeneID:11273190	656190
GeneID:11273194	656190
GeneID:11273199	656190
